Name,Pos,Tm,Age,Season,GS,Wins,Losses,Cmp,Att,CmpPer,PassYds,TD,Int,GWD,FloStrength,Value
Brock Purdy,QB,SFO,24,2023,5,5,0,98,136,72.1,1271,9,0,0,2.962371833489777,1.1316926105466563
Russell Wilson,QB,DEN,35,2023,5,1,4,109,163,66.9,1210,11,2,1,1.4764205288109373,0.8010015342589404
Tua Tagovailoa,QB,MIA,25,2023,5,4,1,119,166,71.7,1614,11,5,1,1.1665808833404967,0.6689674905464114
Justin Herbert,QB,LAC,25,2023,4,2,2,103,145,71,1106,7,1,1,1.0762150289705559,0.5633460089908163
Kirk Cousins,QB,MIN,35,2023,5,1,4,137,204,67.2,1498,13,4,0,0.9666916487224096,0.5539468998296955
Jared Goff,QB,DET,29,2023,5,4,1,111,159,69.8,1265,9,3,1,0.9122643306361563,0.5324439004807553
Baker Mayfield,QB,TAM,28,2023,4,3,1,87,125,69.6,882,7,2,1,0.8241457938943539,0.41437703437301754
C.J. Stroud,QB,HOU,22,2023,5,2,3,114,186,61.3,1461,7,0,0,0.7606530263833866,0.39741983962727506
Josh Allen,QB,BUF,27,2023,5,3,2,128,175,73.1,1407,11,5,0,0.7747998341667426,0.3808707049976965
Patrick Mahomes,QB,KAN,28,2023,5,4,1,123,184,66.8,1287,10,4,1,0.42517019390173005,0.3447508867357256
Geno Smith,QB,SEA,33,2023,4,3,1,84,123,68.3,846,5,1,1,0.48412958983511245,0.29226949311718775
Justin Fields,QB,CHI,24,2023,5,1,4,94,152,61.8,1143,11,5,0,0.639337688294947,0.27297564219334813
Jordan Love,QB,GNB,25,2023,4,2,2,74,132,56.1,901,8,3,1,0.3688723155302286,0.26177288103929824
Gardner Minshew II,QB,IND,27,2023,1,1,0,57,83,68.7,553,2,0,1,0.1593477802813073,0.16215130832401264
Desmond Ridder,QB,ATL,24,2023,5,3,2,102,156,65.4,1073,4,3,3,-0.6044159545550838,0.11014357047586215
Andy Dalton,QB,CAR,36,2023,1,0,1,34,58,58.6,361,2,0,0,0.28116277796869066,0.045807418882539495
Trevor Lawrence,QB,JAX,24,2023,5,3,2,121,180,67.2,1258,5,2,1,-0.15815454151351585,0.045034220583053786
Joshua Dobbs,QB,ARI,28,2023,5,1,4,102,155,65.8,980,6,2,0,0.08153497575418386,0.0354997787693778
Anthony Richardson,QB,IND,21,2023,4,2,2,50,84,59.5,577,3,1,0,0.007883747879394016,0.0018602101737895992
Deshaun Watson,QB,CLE,28,2023,3,2,1,65,102,63.7,678,4,2,0,-0.14952550819492952,-0.04284157819068205
Jalen Hurts,QB,PHI,25,2023,5,5,0,113,168,67.3,1262,6,4,1,-0.3701322974477602,-0.04966917407647112
Lamar Jackson,QB,BAL,26,2023,5,3,2,100,143,69.9,1030,4,2,0,-0.2409148302003849,-0.09677196831082875
Derek Carr,QB,NOR,32,2023,5,3,2,98,150,65.3,946,4,2,0,-0.35877395796500805,-0.1511688025133461
Kenny Pickett,QB,PIT,25,2023,5,3,2,95,159,59.7,1027,5,4,1,-0.65151523714178,-0.16598573793691856
Sam Howell,QB,WAS,23,2023,5,2,3,131,191,68.6,1349,6,6,2,-0.9039382428580058,-0.23497810220752563
Bryce Young,QB,CAR,22,2023,4,0,4,92,144,63.9,750,5,4,0,-0.65836405784370855,-0.26630456272329783
Jimmy Garoppolo,QB,LVR,32,2023,3,1,2,64,94,68.1,709,5,6,1,-1.5075096743545797,-0.27305030727340024
Dak Prescott,QB,DAL,30,2023,5,3,2,111,160,69.4,1061,5,4,0,-0.630319935251083,-0.2832898585398126
Joe Burrow,QB,CIN,27,2023,5,2,3,123,197,62.4,1045,5,3,0,-0.5343678219215021,-0.2957035419059998
Matthew Stafford,QB,LAR,35,2023,5,2,3,124,203,61.1,1451,5,5,1,-0.8650444328194409,-0.3682697187144564
Zach Wilson,QB,NYJ,24,2023,4,1,3,91,149,61.1,911,4,5,0,-1.0910928060683713,-0.45666524748367227
Mac Jones,QB,NWE,25,2023,5,1,4,105,168,62.5,1008,5,6,0,-1.0760011214235836,-0.5077758101100058
Ryan Tannehill,QB,TEN,35,2023,5,2,3,90,142,63.4,1052,2,5,1,-1.749249677344943,-0.5727344218623087
Daniel Jones,QB,NYG,26,2023,5,1,4,104,151,68.9,884,2,6,1,-1.8182618809567304,-0.6462290562485008
