Name,Tm,Pos,Season,Age,GS,G,Att,Yds,YPA,TD,Fmb,FloStrength,Value
Christian McCaffrey,SFO,RB,2023,27,5,5,99,510,5.2,7,2,0.8641356043938909,0.53468390521872
Travis Etienne,JAX,RB,2023,24,5,5,95,396,4.2,3,0,-0.038688906923594245,-0.022971538485884083
Zack Moss,IND,RB,2023,26,4,4,89,445,5,3,0,0.4050936016245188,0.2253333159036386
David Montgomery,DET,RB,2023,26,4,4,88,371,4.2,6,1,0.46429994180210726,0.255364967991159
Derrick Henry,TEN,RB,2023,29,5,5,86,328,3.8,2,0,-0.2404857501485992,-0.12926109070487207
Joe Mixon,CIN,RB,2023,27,5,5,84,328,3.9,1,0,-0.28136613088606893,-0.1477172187151862
Dameon Pierce,HOU,RB,2023,23,5,5,84,247,2.9,1,0,-0.7995806618500145,-0.41977984747125763
Tony Pollard,DAL,RB,2023,26,5,5,81,340,4.2,2,2,-0.053470790065060086,-0.027069587470436668
Kyren Williams,LAR,RB,2023,23,4,5,77,298,3.9,5,1,0.24978240066076132,0.1202077803179914
D'Andre Swift,PHI,RB,2023,24,4,5,76,434,5.7,2,0,0.5858250376411149,0.2782668928795296
Isiah Pacheco,KAN,RB,2023,24,4,5,71,325,4.6,3,0,0.35212843044335035,0.1562569910092367
James Conner,ARI,RB,2023,28,5,5,68,364,5.4,2,0,0.451503530895642,0.19188900063064784
Rhamondre Stevenson,NWE,RB,2023,25,5,5,68,188,2.8,1,0,-0.8059694498568667,-0.3425370161891684
Bijan Robinson,ATL,RB,2023,21,5,5,67,364,5.4,0,1,0.24546095788609065,0.10278677611480047
Brian Robinson Jr.,WAS,RB,2023,24,5,5,67,271,4,3,1,0.20548577657868072,0.08604716894232255
Alexander Mattison,MIN,RB,2023,25,5,5,64,276,4.3,0,1,-0.3630131479778685,-0.1452052591911474
Kenneth Walker III,SEA,RB,2023,23,4,4,64,283,4.4,5,0,0.6623629609178838,0.26494518436715353
Najee Harris,PIT,RB,2023,25,5,5,63,247,3.9,0,0,-0.46009278473187765,-0.18116153398817683
Rachaad White,TAM,RB,2023,24,4,4,63,206,3.3,1,1,-0.5636592363357018,-0.2219408243071826
Tyler Allgeier,ATL,RB,2023,23,1,5,62,191,3.1,2,0,-0.3868944617377321,-0.1499216039233712
Josh Jacobs,LVR,RB,2023,25,4,4,62,166,2.7,1,0,-0.7894742749435558,-0.3059212815406279
James Cook,BUF,RB,2023,24,5,5,61,292,4.8,1,0,0.09020216991476351,0.034389577280003594
Miles Sanders,CAR,RB,2023,26,5,5,61,190,3.1,1,2,-0.6599201087684797,-0.2515945414679829
Raheem Mostert,MIA,RB,2023,31,5,5,58,314,5.4,7,3,1.4943848079829551,0.5417144928938212
Joshua Kelley,LAC,RB,2023,26,3,4,57,207,3.6,1,0,-0.2939961435560451,-0.10473612614184107
Gus Edwards,BAL,RB,2023,28,3,5,56,241,4.3,1,0,-0.07335631593460931,-0.025674710577113256
Jalen Hurts,PHI,QB,2023,25,5,5,55,206,3.7,4,1,0.5585694988240915,0.19200826522078146
Breece Hall,NYJ,RB,2023,22,5,5,54,387,7.2,1,2,0.9780863488177228,0.3301041427259815
Khalil Herbert,CHI,RB,2023,25,5,5,51,272,5.3,0,1,0.11280646302005334,0.035957060087642004
Jerome Ford,CLE,RB,2023,24,2,4,50,186,3.7,1,1,-0.4160686350734821,-0.13002144846046315
Lamar Jackson,BAL,QB,2023,26,5,5,47,265,5.6,4,7,1.2341813447262429,0.36254077001333385
AJ Dillon,GNB,RB,2023,25,2,4,44,118,2.7,0,0,-0.991480384556969,-0.2726571057531665
