Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
A.J. Greer,27,BOS,58,-0.379,-0.81,East,Atlantic
Jakub Lauko,23,BOS,43,-0.419,-0.67,East,Atlantic
Ian Mitchell,25,BOS,49,-0.18,-0.33,East,Atlantic
Anthony Richard,27,BOS,39,-0.294,-0.42,East,Atlantic
Parker Wotherspoon,26,BOS,43,0.407,0.65,East,Atlantic
Jack Drury,23,CAR,49,-0.484,-0.88,East,Metro
Pyotr Kochetkov,24,CAR,46,0.038,0.06,East,Metro
Stefan Noesen,30,CAR,67,-0.03,-0.07,East,Metro
Alexander Holtz,22,NJD,42,-0.491,-0.76,East,Metro
Akira Schmid,23,NJD,46,0.389,0.66,East,Metro
Paul Cotter,24,VEG,58,-0.148,-0.32,West,Metropolitan
Pavel Dorofeyev,23,VEG,43,-0.095,-0.15,West,Metropolitan
Pontus Holmberg,24,TOR,50,-0.292,-0.54,East,Atlantic
Conor Timmins,25,TOR,47,-0.087,-0.15,East,Atlantic
Vincent Desharnais,27,EDM,51,0.19,0.36,West,Metropolitan
Dylan Holloway,22,EDM,55,-0.464,-0.95,West,Metropolitan
Ty Dellandrea,23,DAL,70,-0.095,-0.25,West,Central
Wyatt Johnston,20,DAL,74,0.329,0.9,West,Central
Connor Mackey,27,NYR,43,-0.7,-1.11,East,Metro
Denis Malgin,27,COL,61,-0.153,-0.35,West,Central
Ben Meyers,25,COL,49,-0.512,-0.93,West,Central
Miles Wood,28,COL,66,-0.108,-0.26,West,Central
Jaret Anderson-Dolan,24,LAK,53,-0.398,-0.78,West,Metropolitan
Pheonix Copley,32,LAK,48,-0.171,-0.3,West,Metropolitan
Andreas Englund,28,LAK,56,0.215,0.45,West,Metropolitan
Jake Lucchini,28,MIN,35,-0.742,-0.96,West,Central
Marco Rossi,22,MIN,40,-0.823,-1.22,West,Central
Cale Fleury,25,SEA,38,-0.538,-0.76,West,Metropolitan
Josh Archibald,31,TBL,57,-0.401,-0.85,East,Atlantic
Cole Koepke,25,TBL,38,-0.719,-1.01,East,Atlantic
Darren Raddysh,27,TBL,38,-0.759,-1.07,East,Atlantic
Collin Delia,29,WPG,38,-0.837,-1.18,West,Central
David Gustafsson,23,WPG,52,-0.549,-1.06,West,Central
Dennis Gilbert,27,CGY,44,-0.209,-0.34,West,Metropolitan
Samuel Bolduc,23,NYI,45,0.197,0.33,East,Metro
Zac Dalpe,34,FLA,35,-0.632,-0.82,East,Atlantic
Grigori Denisenko,23,FLA,40,-0.67,-0.99,East,Atlantic
Matt Kiersted,25,FLA,45,0.169,0.28,East,Atlantic
Kevin Stenlund,27,FLA,55,-0.418,-0.85,East,Atlantic
Cody Glass,24,NSH,67,0.07,0.17,West,Central
Juuso Parssinen,22,NSH,55,-0.14,-0.29,West,Central
Cole Smith,28,NSH,61,-0.353,-0.8,West,Central
Magnus Hellberg,32,PIT,37,-0.702,-0.96,East,Metro
Pierre-Olivier Joseph,24,PIT,70,0.437,1.13,East,Metro
Owen Power,21,BUF,74,0.593,1.63,East,Atlantic
Jack Quinn,22,BUF,69,0.096,0.25,East,Atlantic
Jacob Bernard-Docker,23,OTT,42,-0.402,-0.63,East,Atlantic
Shane Pinto,23,OTT,71,0.093,0.24,East,Atlantic
Jake Sanderson,21,OTT,70,0.115,0.3,East,Atlantic
Guillaume Brisebois,26,VAN,40,-0.386,-0.57,West,Metropolitan
Phillip Di Giuseppe,30,VAN,44,-0.368,-0.6,West,Metropolitan
Noah Juulsen,26,VAN,40,-0.049,-0.07,West,Metropolitan
Vitali Kravtsov,24,VAN,52,-0.438,-0.84,West,Metropolitan
Andrei Kuzmenko,27,VAN,78,1.386,4,West,Metropolitan
Jake Neighbours,21,STL,53,-0.337,-0.66,West,Central
Tyler Tucker,23,STL,43,-0.704,-1.12,West,Central
Alexander Alexeyev,24,WSH,49,-0.154,-0.28,East,Metro
Charlie Lindgren,30,WSH,45,-0.287,-0.48,East,Metro
Jonatan Berggren,23,DET,65,0.089,0.21,East,Atlantic
Wade Allison,26,PHI,59,-0.254,-0.56,East,Metro
Samuel Ersson,24,PHI,39,-0.319,-0.46,East,Metro
Tanner Laczynski,26,PHI,45,-0.623,-1.04,East,Metro
Sean Walker,29,PHI,63,-0.156,-0.36,East,Metro
Connor Ingram,26,ARI,47,-0.022,-0.04,West,Central
Jack McBain,24,ARI,70,-0.035,-0.09,West,Central
Juuso Valimaki,25,ARI,68,-0.077,-0.19,West,Central
Justin Barron,22,MTL,54,0.08,0.16,East,Atlantic
Kaiden Guhle,22,MTL,50,-0.868,-1.61,East,Atlantic
Jordan Harris,23,MTL,65,0.22,0.53,East,Atlantic
Johnathan Kovacevic,26,MTL,71,0.469,1.23,East,Atlantic
Nikolai Knyzhov,25,SJS,31,-1.627,-1.87,West,Metropolitan
Jacob MacDonald,30,SJS,57,-0.189,-0.4,West,Metropolitan
Joey Anderson,25,CHI,49,-0.366,-0.66,West,Central
