Team,GP,PassComp,PassAtt,PassYds,PassTD,PassInt,PassSacks,RushAtt,RushYds,RushTD,OppPassComp,OppPassAtt,OppPassYds,OppPassTD,OppPassInt,OppPassSacks,OppRushAtt,OppRushYds,OppRushTD,OffPoints,OppPoints,Fumbles,OppFumbles,Pen,Passing,Rushing,yearID,PassFS,RushFS,OffFS,OppPassing,OppRushing,DefPassFS,DefRushFS,DefFS,FloTeam,QBFS,RBFS,WRFS,DEFFS,FloPlayer,FloSched,Wins,Losses,Division,League
ARI,5,102,155,980,6,2,9,131,716,5,126,175,1372,8,4,15,149,621,7,108,136,5,3,-1.33,1728.34,41.27,2023,0.19,0.54,0.37,3121.57,58.1,-0.32,-1.07,-0.69,0.45,0.05,NA,NA,NA,NA,0.49,77,77,NFC West,NFC
ATL,5,103,157,1095,4,3,16,149,608,4,99,161,996,7,3,5,139,522,1,83,96,6,3,0.92,-883.6,16.49,2023,-0.59,-0.1,-0.34,2063.95,-4.21,0,0.83,0.42,0.5,-0.61,NA,NA,NA,NA,0.49,77,77,NFC South,NFC
BAL,5,100,143,1030,4,2,15,164,730,9,119,197,1036,4,4,18,128,457,0,109,75,12,3,0.02,57.62,47.14,2023,-0.31,0.69,0.19,-525.68,-12.96,0.78,1.1,0.94,0.62,-0.26,NA,NA,NA,NA,0.49,77,77,AFC North,AFC
BUF,5,128,175,1407,11,5,9,133,581,7,99,147,1092,4,8,21,115,670,4,159,80,4,8,0.02,4167.94,59.28,2023,0.91,1.01,0.96,-4177.23,2.1,1.88,0.64,1.26,0.77,0.72,NA,NA,NA,NA,0.49,77,77,AFC East,AFC
CAR,5,126,202,1111,7,4,15,119,480,1,92,138,1022,7,4,14,145,704,9,91,144,6,1,-2.45,457.38,-14.08,2023,-0.19,-0.88,-0.54,1471.68,103.8,0.18,-2.47,-1.14,0.26,0.25,NA,NA,NA,NA,0.02,0,77,NFC South,NFC
CHI,5,94,152,1143,11,5,20,134,654,2,126,178,1476,12,3,7,132,491,4,115,157,6,3,-0.2,2085.22,-4.78,2023,0.29,-0.64,-0.18,8745.05,23.84,-2.01,-0.03,-1.02,0.38,0.59,NA,NA,NA,NA,0.49,77,77,NFC North,NFC
CIN,5,123,198,1045,5,3,11,106,373,1,92,153,1068,8,6,15,145,770,4,83,114,3,3,1.15,175.28,-1.72,2023,-0.27,-0.57,-0.42,475.23,34.04,0.48,-0.34,0.07,0.46,-0.54,NA,NA,NA,NA,0.49,77,77,AFC South,AFC
CLE,4,84,138,799,4,5,16,131,575,3,57,106,594,3,1,12,89,287,2,76,60,10,2,1.15,-1775.17,-10.84,2023,-0.85,-0.8,-0.83,571.75,8.38,0.45,0.45,0.45,0.44,-1.5,NA,NA,NA,NA,0.49,77,77,AFC South,AFC
DAL,5,115,165,1089,5,4,10,156,622,4,80,133,929,6,7,15,138,617,4,134,83,5,6,-1.1,-637.56,20.1,2023,-0.52,-0,-0.26,-1380.23,12.43,1.04,0.32,0.68,0.51,-0.63,NA,NA,NA,NA,0.49,77,77,NFC East,NFC
DEN,5,109,163,1210,11,2,15,106,521,1,119,154,1409,13,3,12,158,938,8,121,181,8,5,-1.55,5728.72,-26.98,2023,1.38,-1.22,0.08,10201.8,83.29,-2.44,-1.84,-2.14,0.3,1.39,NA,NA,NA,NA,0.49,77,77,AFC West,AFC
DET,5,111,159,1265,9,3,7,165,705,9,122,195,1248,8,5,14,103,342,3,148,107,4,3,-0.2,4124.14,79.43,2023,0.9,1.53,1.21,1522.56,12.95,0.17,0.31,0.24,0.69,0.85,NA,NA,NA,NA,0.49,77,77,NFC North,NFC
