Team,qbsc,rbsc,defsc,wrsc,draft,prevFS,fspred,awaysos,homesos,psos,PredWpct,predWins,UpdPred,lb,ub,GP,Wins,Losses,Division,League,FSOct03,GRem
ARI,-0.9913070699363035,-1.3545559488769767,-1.263617939556512,-2.13866856200443,3,-1.4761116664624372,0.3088414936567844,4.443914100780684,4.27014299478021,0.5125915938565231,0.29751391938333666,5.057736629516723,0.4235882352941176,0.2831597435683357,0.4231597435683357,4,1,3,NFC West,NFC,0.477,13
ATL,-0.9913070699363035,0.3924664732918868,-1.0318870507712874,-0.6096004486086588,8,-0.41684216494786447,0.41698059735792786,4.235285157241461,3.4641782584758736,0.45290961268925495,0.45752166850424525,7.77786836457217,0.4648235294117647,0.38586516795297165,0.5258651679529717,4,2,2,NFC South,NFC,0.454,13
BAL,-0.21629311695577996,0.514668005904744,0.6275078639931608,-0.10569335162085203,24,0.2736446212245978,0.5111382242119629,4.075161694629364,4.442160643773144,0.5010189610825004,0.5154052545627668,8.761889327567035,0.6735294117647059,0.48638367819393663,0.6263836781939367,4,3,1,AFC North,AFC,0.65,13
BUF,0.5798758999406228,0.4545481877756506,-0.08948153975811704,1.2007606375868103,30,1.678157515825401,0.616041260827869,4.385126582320974,4.720074560598026,0.5356000672305294,0.586067884365753,9.963154034217801,0.7805882352941176,0.578447519056027,0.7184475190560271,4,3,1,AFC East,AFC,0.79,13
CAR,-0.9913070699363035,1.6284164601834674,1.1256516004699135,-1.0704494770977675,9,-0.6993140320184175,0.47909269147839784,4.343672355008663,3.647601600785057,0.47007493857610116,0.5056907586861317,8.596742897664239,0.28447058823529414,0.39678353108029213,0.5367835310802922,4,0,4,NFC South,NFC,0.372,13
CHI,-1.7861491455541116,1.2690113505884393,0.7917460752834432,-0.8100351153817951,1,-1.4211865811987185,0.4024841363390862,4.406715573980831,3.830107758001716,0.48451901952838516,0.4158247470587363,7.069020699998517,0.23552941176470585,0.3146773229411154,0.4546773229411154,4,0,4,NFC North,NFC,0.308,13
CIN,1.7428791914382742,-1.257371310869108,0.5287802004233558,0.7933753044104784,27,1.434917852514648,0.6536154634443048,3.988882813657393,4.250976361812399,0.48469759855704664,0.6620678499165342,11.255153448581082,0.36011764705882354,0.5116474949415739,0.651647494941574,4,1,3,AFC South,AFC,0.394,13
CLE,-0.805431202803182,1.9453646161062188,0.054980333992017,1.3423230687643009,10,-0.22068114614886983,0.5145426611745512,3.814996728975893,4.565438007535622,0.49296674920655964,0.5198599081972087,8.837618439352548,0.4441764705882353,0.42200193573804606,0.5620019357380461,4,2,2,AFC South,AFC,0.427,13
DAL,0.3444117082561457,2.1718092640194016,0.9211957582656195,1.427562791783543,26,1.5918466675538432,0.6745723034559516,4.608942976532866,4.101973980128683,0.5124068798036205,0.6629275022179311,11.269767537704828,0.671235294117647,0.5881492515525517,0.7281492515525518,4,3,1,NFC East,NFC,0.647,13
DEN,0.3487905159225212,0.23013427258452737,0.8747914678858755,-0.67948061092452,5,-0.7934713210419346,0.5251153833287476,4.147834570338751,4.541461698919784,0.5111350746622667,0.508329493455252,8.641601388739284,0.33488235294117646,0.3941306454186764,0.5341306454186764,4,1,3,AFC West,AFC,0.361,13
DET,1.0516174699930056,0.3924664732918868,0.026623510974896528,-0.8067908617513434,18,0.6502737773186675,0.5902696027168484,4.461061107070134,3.8374488369911695,0.48814764376831193,0.595921657236436,10.130668173019412,0.6284117647058823,0.5238451600655052,0.6638451600655051,4,3,1,NFC North,NFC,0.591,13
GNB,-0.9913070699363035,0.7965921200477158,0.8493920843603343,-0.6810330559683714,14,-9.808050939953022e-4,0.4911299186883642,4.32468097654554,3.8148639361640413,0.47879675957115186,0.5103802242716731,8.676463812618442,0.47552941176470587,0.42766615699017113,0.5676661569901711,4,2,2,NFC North,NFC,0.468,13
HOU,-0.9913070699363035,-0.23525793595624273,0.2984034831141281,-1.081873136095458,2,-1.2642577661595225,0.40561264378781736,3.975924166001655,3.995037561730045,0.46888010163127647,0.4299234014019216,7.308697823832667,0.5497058823529412,0.3992463809813451,0.539246380981345,4,2,2,AFC South,AFC,0.565,13
IND,-0.9913070699363035,-0.9379068244213017,-0.5124790528362874,-0.8927473747025544,4,-1.9547445523319849,0.31783976817328763,3.9450360439668386,4.223778746259887,0.48051851707216037,0.3372644268721703,5.733495256826895,0.5183529411764707,0.3232850988105192,0.4632850988105192,4,2,2,AFC South,AFC,0.524,13
