Name,Tm,Pos,Season,Age,GS,G,Rec,Yds,YPR,TD,Fmb,FloStrength,Value
Puka Nacua,LAR,WR,2023,22,5,5,46,572,12.4,2,1,2.9248717889483946,0.6093482893642489
Ja'Marr Chase,CIN,WR,2023,23,5,5,44,476,10.8,3,0,2.753646449150557,0.5736763435730327
Stefon Diggs,BUF,WR,2023,30,5,5,39,520,13.3,5,1,2.9124544649217823,0.6067613468587046
Adam Thielen,CAR,WR,2023,33,5,5,38,394,10.4,3,0,2.1661143766121715,0.45127382846086905
Tyreek Hill,MIA,WR,2023,29,5,5,36,651,18.1,5,0,3.376514688241395,0.7034405600502905
Justin Jefferson,MIN,WR,2023,24,5,5,36,571,15.9,3,1,2.6854499455945415,0.5594687386655295
Keenan Allen,LAC,WR,2023,31,4,4,35,434,12.4,3,1,2.9308315148407527,0.48847191914012544
A.J. Brown,PHI,WR,2023,26,5,5,35,541,15.5,2,0,2.3888546579114127,0.49767805373154433
Davante Adams,LVR,WR,2023,31,4,4,33,397,12,3,0,2.829030321548365,0.4715050535913942
Michael Pittman Jr.,IND,WR,2023,26,5,5,31,297,9.6,1,1,0.9851625419399914,0.2052421962374982
T.J. Hockenson,MIN,WR,2023,26,3,5,30,254,8.5,2,1,0.9784393564595477,0.20384153259573912
Christian Kirk,JAX,WR,2023,27,5,5,30,335,11.2,1,0,1.1443293428116434,0.23840194641909238
Evan Engram,JAX,WR,2023,29,5,5,29,260,9,0,1,0.5749512080299033,0.11978150167289651
Zay Flowers,BAL,WR,2023,23,5,5,29,317,10.9,0,0,0.8360761320391223,0.17418252750815047
Travis Kelce,KAN,WR,2023,34,4,4,27,222,8.2,3,0,1.576955185364132,0.2628258642273553
CeeDee Lamb,DAL,WR,2023,24,5,5,27,358,13.3,1,1,1.0561485453234978,0.22003094694239536
D.J. Moore,CHI,WR,2023,26,5,5,27,531,19.7,5,0,2.4969636828418897,0.5202007672587271
DeAndre Hopkins,TEN,WR,2023,31,5,5,26,356,13.7,0,0,0.9544482473448611,0.19884338486351272
Amon-Ra St. Brown,DET,WR,2023,24,4,4,26,331,12.7,2,1,1.787478756384516,0.297913126064086
Michael Thomas,NOR,WR,2023,30,3,5,26,284,10.9,0,0,0.6446347287073971,0.13429890181404106
Marquise Brown,ARI,WR,2023,26,5,5,25,300,12,3,0,1.2562435007887849,0.2617173959976635
Nico Collins,HOU,WR,2023,24,2,5,25,467,18.7,3,0,1.8195037900142168,0.37906328958629515
Sam LaPorta,DET,WR,2023,22,4,5,25,289,11.6,3,0,1.1354290746405125,0.23654772388344011
Terry McLaurin,WAS,WR,2023,28,5,5,25,261,10.4,1,0,0.6718824856844141,0.1399755178509196
Chris Olave,NOR,WR,2023,23,3,5,25,318,12.7,1,0,0.914361072971951,0.1904918902024898
Tutu Atwell,LAR,WR,2023,24,5,5,24,279,11.6,2,0,0.9378718417068249,0.1953899670222552
Garrett Wilson,NYJ,WR,2023,23,5,5,24,279,11.6,2,0,0.8541583926931618,0.17794966514440871
Tyler Boyd,CIN,WR,2023,29,5,5,23,166,7.2,0,0,-9.229414190897483e-4,-1.9227946231036423e-4
Josh Downs,IND,WR,2023,22,3,5,23,255,11.1,0,0,0.3662284509718613,0.0762975939524711
Cole Kmet,CHI,WR,2023,24,5,5,23,231,10,3,1,0.7951821001725717,0.16566293753595243
Curtis Samuel,WAS,WR,2023,27,3,5,23,243,10.6,1,0,0.5019371818667405,0.10457024622223761
DeVonta Smith,PHI,WR,2023,25,5,5,23,290,12.6,2,0,0.8031566832417857,0.16732430900870535
Darren Waller,NYG,WR,2023,31,5,5,23,239,10.4,0,0,0.3122633933215204,0.06505487360865009
Zach Ertz,ARI,WR,2023,33,5,5,22,146,6.6,1,0,0.05318595367009888,0.011080407014603935
George Pickens,PIT,WR,2023,22,5,5,22,393,17.9,2,1,1.1442638573745825,0.23838830361970467
Calvin Ridley,JAX,WR,2023,29,5,5,22,333,15.1,2,1,0.9753802707912698,0.20320422308151453
Brandon Aiyuk,SFO,WR,2023,25,4,4,21,378,18,2,0,1.8977934395057856,0.3162989065842976
Chris Godwin,TAM,WR,2023,27,4,4,21,255,12.1,0,0,0.8131964797949608,0.13553274663249346
Dallas Goedert,PHI,WR,2023,28,5,5,21,205,9.8,1,0,0.2645355559861407,0.05511157416377931
Bijan Robinson,ATL,RB,2023,21,5,5,21,146,7,2,1,0.18959021370599616,0.02369877671324952
Jonnu Smith,ATL,WR,2023,28,1,5,21,246,11.7,0,1,0.20799215536082183,0.043331699033504555
Courtland Sutton,DEN,WR,2023,28,5,5,21,229,10.9,3,2,0.627070137678091,0.13063961201626897
Jaylen Warren,PIT,RB,2023,25,0,5,21,166,7.9,0,1,-0.12880389210181253,-0.016100486512726567
Robert Woods,HOU,WR,2023,31,5,5,21,221,10.5,0,0,0.22603153851750982,0.04708990385781455
Mark Andrews,BAL,WR,2023,28,3,4,20,225,11.2,3,0,1.2582003454452888,0.2097000575742148
Romeo Doubs,GNB,WR,2023,23,3,4,20,224,11.2,3,0,1.2749126875697718,0.2124854479282953
